Invoice No.,Billing Type,Company Code,Plant,Plant Name,Head Office,Invoice Date,Tax Invoice No.,Accounting Doc No.,Bill to Party,Bill to Party Name,Bill to Party PAN,Bill to Party GST No,Bill To State Code,Bill to State Name,Bill To District,Ship To Party,Ship To Party Name,Ship To PAN,Ship To GST No,Ship To State Code,Ship To State Name,Ship To District,Ship To City,Pay To Party,Pay To Party Name,Material Group 1,Material Group 1 Des,Line Item No.,Item Code,Item Description,HSN Code,Batch Number,GL Account,Sale Unit (UOM),Batch Quantity,Free/Sale,Mfg. Date,Exp Date,Exchange Rate,MRP,PTR,Sale Rate,Sales Amount,Discount %,Discount Amount,Net Amount,Plate Charges,Freight,Taxable Amount,IGST Rate,IGST Amount,CGST Rate,CGST Amount,SGST Rate,SGST Amount,Total Amt After Tax,TCS Base,TCS Amount,Round Off,Grand Total,Party Order No,Party Order Date,Vehicle No,LR No,Transporter Name,Payment Term,No of Boxes,Gross Weight of Prod,Distribution Channel,Division,Division Description,Sales Office,Sales Office Descrip,Sales Group,Sales Group Descript,Material Group,Material Group Descr,IRN No,Acknowledgement No,Eway Bill No,Shipment No.,Shipment Cost,Freight Amount,Service Entry Sheet,Freight PO NO,Sales Empolyee,HQ Code,Hospital Name
0090034017,ZDOM,1000,1302,C&F-Raj Pharmaceutical Company,,04-05-2024,DI2410900106,0090000304,10008387,YUVIKA PHARMACEUTICAL,BTZPJ0973Q,09BTZPJ0973Q1ZG,09,Uttar Pradesh,BADAUN,10008387,YUVIKA PHARMACEUTICAL,BTZPJ0973Q,09BTZPJ0973Q1ZG,09,Uttar Pradesh,BADAUN,BADAUN,10008387,YUVIKA PHARMACEUTICAL,004,Ethical,11,1400003231,CILATONE -TRIO 6.25 TABS (10x15),30049099,CBGR3J002,0030000001,STP,150.000,Sales,01.10.2023,30.09.2025,1.00,"152,63","109,02",98.12,"14,718.00",0.00,0.00,"14,718.00",0.00,0.00,"14,718.00",0.00,0.00,6.00,883.08,6.00,883.08,"16,484.16",0.00,0.00,0.08,"16,484.24",MAIL,04-05-2024,,,,21 Day from Bill Date,0,11.033,10,01,Pharma Product,O003,Zirakpur Sales Ofc,G09,Ethical HOD,004,Ethical,16f81cb495f47e3f32d91a09dbef7825ecaa1e96249789eb7512b198214d0b77,142414798731467,431438216459,,,0.00,,,,,
0090034017,ZDOM,1000,1302,C&F-Raj Pharmaceutical Company,,04-05-2024,DI2410900106,0090000304,10008387,YUVIKA PHARMACEUTICAL,BTZPJ0973Q,09BTZPJ0973Q1ZG,09,Uttar Pradesh,BADAUN,10008387,YUVIKA PHARMACEUTICAL,BTZPJ0973Q,09BTZPJ0973Q1ZG,09,Uttar Pradesh,BADAUN,BADAUN,10008387,YUVIKA PHARMACEUTICAL,004,Ethical,21,1400003231,CILATONE -TRIO 6.25 TABS (10x15),30049099,CBGR3J002,0030000001,STP,30.000,Free,01.10.2023,30.09.2025,1.00,"152,63","109,02",98.12,"2,943.60",100.00,"2,943.60",0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,MAIL,04-05-2024,,,,21 Day from Bill Date,0,0.000,10,01,Pharma Product,O003,Zirakpur Sales Ofc,G09,Ethical HOD,004,Ethical,16f81cb495f47e3f32d91a09dbef7825ecaa1e96249789eb7512b198214d0b77,142414798731467,431438216459,,,0.00,,,,,
0090034017,ZDOM,1000,1302,C&F-Raj Pharmaceutical Company,,04-05-2024,DI2410900106,0090000304,10008387,YUVIKA PHARMACEUTICAL,BTZPJ0973Q,09BTZPJ0973Q1ZG,09,Uttar Pradesh,BADAUN,10008387,YUVIKA PHARMACEUTICAL,BTZPJ0973Q,09BTZPJ0973Q1ZG,09,Uttar Pradesh,BADAUN,BADAUN,10008387,YUVIKA PHARMACEUTICAL,004,Ethical,31,1400003270,COLLAHEX CAPSULES (10X1X10'S),21069099,CF-230875,0030000001,STP,100.000,Sales,01.01.2024,01.12.2025,1.00,"341,00","231,19",208.07,"20,807.00",0.00,0.00,"20,807.00",0.00,0.00,"20,807.00",0.00,0.00,9.00,"1,872.63",9.00,"1,872.63","24,552.26",0.00,0.00,0.12,"24,552.38",MAIL,04-05-2024,,,,21 Day from Bill Date,0,0.000,10,01,Pharma Product,O003,Zirakpur Sales Ofc,G09,Ethical HOD,004,Ethical,16f81cb495f47e3f32d91a09dbef7825ecaa1e96249789eb7512b198214d0b77,142414798731467,431438216459,,,0.00,,,,,
0090034017,ZDOM,1000,1302,C&F-Raj Pharmaceutical Company,,04-05-2024,DI2410900106,0090000304,10008387,YUVIKA PHARMACEUTICAL,BTZPJ0973Q,09BTZPJ0973Q1ZG,09,Uttar Pradesh,BADAUN,10008387,YUVIKA PHARMACEUTICAL,BTZPJ0973Q,09BTZPJ0973Q1ZG,09,Uttar Pradesh,BADAUN,BADAUN,10008387,YUVIKA PHARMACEUTICAL,004,Ethical,41,1400003270,COLLAHEX CAPSULES (10X1X10'S),21069099,CF-230875,0030000001,STP,30.000,Free,01.01.2024,01.12.2025,1.00,"341,00","231,19",208.07,"6,242.10",100.00,"6,242.10",0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,MAIL,04-05-2024,,,,21 Day from Bill Date,0,0.000,10,01,Pharma Product,O003,Zirakpur Sales Ofc,G09,Ethical HOD,004,Ethical,16f81cb495f47e3f32d91a09dbef7825ecaa1e96249789eb7512b198214d0b77,142414798731467,431438216459,,,0.00,,,,,
0090034017,ZDOM,1000,1302,C&F-Raj Pharmaceutical Company,,04-05-2024,DI2410900106,0090000304,10008387,YUVIKA PHARMACEUTICAL,BTZPJ0973Q,09BTZPJ0973Q1ZG,09,Uttar Pradesh,BADAUN,10008387,YUVIKA PHARMACEUTICAL,BTZPJ0973Q,09BTZPJ0973Q1ZG,09,Uttar Pradesh,BADAUN,BADAUN,10008387,YUVIKA PHARMACEUTICAL,004,Ethical,51,1400003343,FORIDA -XT PLUS TAB (15x10),30045039,CBFY3J001,0030000001,STP,75.000,Sales,01.10.2023,01.09.2025,1.00,"154,00","110,00",99.00,"7,425.00",0.00,0.00,"7,425.00",0.00,0.00,"7,425.00",0.00,0.00,6.00,445.50,6.00,445.50,"8,316.00",0.00,0.00,0.04,"8,316.04",MAIL,04-05-2024,,,,21 Day from Bill Date,0,0.000,10,01,Pharma Product,O003,Zirakpur Sales Ofc,G09,Ethical HOD,004,Ethical,16f81cb495f47e3f32d91a09dbef7825ecaa1e96249789eb7512b198214d0b77,142414798731467,431438216459,,,0.00,,,,,
0090034017,ZDOM,1000,1302,C&F-Raj Pharmaceutical Company,,04-05-2024,DI2410900106,0090000304,10008387,YUVIKA PHARMACEUTICAL,BTZPJ0973Q,09BTZPJ0973Q1ZG,09,Uttar Pradesh,BADAUN,10008387,YUVIKA PHARMACEUTICAL,BTZPJ0973Q,09BTZPJ0973Q1ZG,09,Uttar Pradesh,BADAUN,BADAUN,10008387,YUVIKA PHARMACEUTICAL,004,Ethical,61,1400003343,FORIDA -XT PLUS TAB (15x10),30045039,CBFY3J001,0030000001,STP,15.000,Free,01.10.2023,01.09.2025,1.00,"154,00","110,00",99.00,"1,485.00",100.00,"1,485.00",0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,MAIL,04-05-2024,,,,21 Day from Bill Date,0,0.000,10,01,Pharma Product,O003,Zirakpur Sales Ofc,G09,Ethical HOD,004,Ethical,16f81cb495f47e3f32d91a09dbef7825ecaa1e96249789eb7512b198214d0b77,142414798731467,431438216459,,,0.00,,,,,
0090034017,ZDOM,1000,1302,C&F-Raj Pharmaceutical Company,,04-05-2024,DI2410900106,0090000304,10008387,YUVIKA PHARMACEUTICAL,BTZPJ0973Q,09BTZPJ0973Q1ZG,09,Uttar Pradesh,BADAUN,10008387,YUVIKA PHARMACEUTICAL,BTZPJ0973Q,09BTZPJ0973Q1ZG,09,Uttar Pradesh,BADAUN,BADAUN,10008387,YUVIKA PHARMACEUTICAL,004,Ethical,71,1400001216,GLITAME M1000 TABLET(5x2x15),30042019,CBGC3J001,0030000001,STP,25.000,Sales,01.10.2023,01.09.2025,1.00,"123,75","88,39",79.55,"1,988.75",0.00,0.00,"1,988.75",0.00,0.00,"1,988.75",0.00,0.00,6.00,119.33,6.00,119.33,"2,227.41",0.00,0.00,0.01,"2,227.42",MAIL,04-05-2024,,,,21 Day from Bill Date,0,0.000,10,01,Pharma Product,O003,Zirakpur Sales Ofc,G09,Ethical HOD,004,Ethical,16f81cb495f47e3f32d91a09dbef7825ecaa1e96249789eb7512b198214d0b77,142414798731467,431438216459,,,0.00,,,,,
0090034017,ZDOM,1000,1302,C&F-Raj Pharmaceutical Company,,04-05-2024,DI2410900106,0090000304,10008387,YUVIKA PHARMACEUTICAL,BTZPJ0973Q,09BTZPJ0973Q1ZG,09,Uttar Pradesh,BADAUN,10008387,YUVIKA PHARMACEUTICAL,BTZPJ0973Q,09BTZPJ0973Q1ZG,09,Uttar Pradesh,BADAUN,BADAUN,10008387,YUVIKA PHARMACEUTICAL,004,Ethical,81,1400001216,GLITAME M1000 TABLET(5x2x15),30042019,CBGC3J001,0030000001,STP,5.000,Free,01.10.2023,01.09.2025,1.00,"123,75","88,39",79.55,397.75,100.00,397.75,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,MAIL,04-05-2024,,,,21 Day from Bill Date,0,0.000,10,01,Pharma Product,O003,Zirakpur Sales Ofc,G09,Ethical HOD,004,Ethical,16f81cb495f47e3f32d91a09dbef7825ecaa1e96249789eb7512b198214d0b77,142414798731467,431438216459,,,0.00,,,,,
0090034017,ZDOM,1000,1302,C&F-Raj Pharmaceutical Company,,04-05-2024,DI2410900106,0090000304,10008387,YUVIKA PHARMACEUTICAL,BTZPJ0973Q,09BTZPJ0973Q1ZG,09,Uttar Pradesh,BADAUN,10008387,YUVIKA PHARMACEUTICAL,BTZPJ0973Q,09BTZPJ0973Q1ZG,09,Uttar Pradesh,BADAUN,BADAUN,10008387,YUVIKA PHARMACEUTICAL,004,Ethical,111,1400003278,NERVIGOR CAPS (10x1x10),30049099,CSD-23002,0030000001,STP,100.000,Sales,01.11.2023,01.10.2025,1.00,"218,90","156,36",140.72,"14,072.00",0.00,0.00,"14,072.00",0.00,0.00,"14,072.00",0.00,0.00,6.00,844.32,6.00,844.32,"15,760.64",0.00,0.00,0.08,"15,760.72",MAIL,04-05-2024,,,,21 Day from Bill Date,0,0.000,10,01,Pharma Product,O003,Zirakpur Sales Ofc,G09,Ethical HOD,004,Ethical,16f81cb495f47e3f32d91a09dbef7825ecaa1e96249789eb7512b198214d0b77,142414798731467,431438216459,,,0.00,,,,,
0090034017,ZDOM,1000,1302,C&F-Raj Pharmaceutical Company,,04-05-2024,DI2410900106,0090000304,10008387,YUVIKA PHARMACEUTICAL,BTZPJ0973Q,09BTZPJ0973Q1ZG,09,Uttar Pradesh,BADAUN,10008387,YUVIKA PHARMACEUTICAL,BTZPJ0973Q,09BTZPJ0973Q1ZG,09,Uttar Pradesh,BADAUN,BADAUN,10008387,YUVIKA PHARMACEUTICAL,004,Ethical,121,1400003278,NERVIGOR CAPS (10x1x10),30049099,CSD-23002,0030000001,STP,20.000,Free,01.11.2023,01.10.2025,1.00,"218,90","156,36",140.72,"2,814.40",100.00,"2,814.40",0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,MAIL,04-05-2024,,,,21 Day from Bill Date,0,0.000,10,01,Pharma Product,O003,Zirakpur Sales Ofc,G09,Ethical HOD,004,Ethical,16f81cb495f47e3f32d91a09dbef7825ecaa1e96249789eb7512b198214d0b77,142414798731467,431438216459,,,0.00,,,,,
