CustCode.,CustName,CustGrp,PrfitCentr,DocumeNo.,DocuType,InvDate,DueDate.,ReferNo,ReferenDt,BalanaDue,DueDays.,DoutfulDeb,NotDue,BillinType,SalesGroup,SalesOrga,Division,BillinDocu,0to30Days,31to60Days,61to90Days,91to120Day,121to150Da,151to180Da,Abve180Day,Legal,WrittenOff
10002206,SHEOSONS INDIA,CC,1200,90000000,RV,02-05-2022,02-05-2022,DI2110300001,02-05-2022,"84,084.00",775,"84,084.00",0,ZDOM,G08,1000,1,90000007,0,0,0,0,0,0,"84,084.00",,"84,084.00"
10007616,ALACTIS PHARMACEUTICALS PRIVATE LIM,CC,1200,90000020,RV,02-09-2022,02-09-2022,DI2110300003,02-09-2022,"17,938.00",771,"17,938.00",0,ZDOM,G08,1000,1,90000061,0,0,0,0,0,0,"17,938.00",,"17,938.00"
10004142,MUDRA INCORPORATION,CC,1200,90000032,RV,02-10-2022,02-10-2022,DI2110300005,02-10-2022,"3,57,844.00",770,"3,57,844.00",0,ZDOM,G08,1000,1,90000092,0,0,0,0,0,0,"3,57,844.00",,"3,57,844.00"
10005907,GANDHI BROTHERS,CC,1200,90000033,RV,02-10-2022,02-10-2022,DI2110300006,02-10-2022,0,770,"1,80,500.00",0,ZDOM,G08,1000,1,90000093,0,0,0,0,0,0,0,,"1,80,500.00"
3200,CELEBRITY BIOPHARMA LIMITED,,1102,90000045,RV,02-11-2022,02-11-2022,DI2111100006,02-11-2022,"22,05,155.00",769,"22,05,155.00",0,IV,,1000,1,90000124,0,0,0,0,0,0,"22,05,155.00",,"22,05,155.00"
10006644,B M PHARMA & HEALTHCARE PVT. LTD.,CC,1200,90000050,RV,02-12-2022,02-12-2022,DI2110300011,02-12-2022,"56,056.00",768,"56,056.00",0,ZDOM,G08,1000,1,90000130,0,0,0,0,0,0,"56,056.00",,"56,056.00"
3200,CELEBRITY BIOPHARMA LIMITED,,1102,90000080,RV,2/16/2022,2/16/2022,DI2111100008,2/16/2022,"9,18,193.00",764,"9,18,193.00",0,IV,,1000,1,90000214,0,0,0,0,0,0,"9,18,193.00",,"9,18,193.00"
3200,CELEBRITY BIOPHARMA LIMITED,,1102,90000087,RV,2/16/2022,2/16/2022,DI2111100010,2/16/2022,"4,18,961.00",764,"4,18,961.00",0,IV,,1000,1,90000232,0,0,0,0,0,0,"4,18,961.00",,"4,18,961.00"
10002206,SHEOSONS INDIA,CC,1200,90000113,RV,2/19/2022,2/19/2022,DI2110300017,2/19/2022,"93,048.00",761,"93,048.00",0,ZDOM,G08,1000,1,90000310,0,0,0,0,0,0,"93,048.00",,"93,048.00"
10002206,SHEOSONS INDIA,CC,1200,90000114,RV,2/19/2022,2/19/2022,DI2110300018,2/19/2022,"33,634.00",761,"33,634.00",0,ZDOM,G08,1000,1,90000311,0,0,0,0,0,0,"33,634.00",,"33,634.00"
