Customer Code,Customer Name,Customer Group,Profit Center,Billing Document,Billing Type,Invoice Date,Reference No.,Reference Date,Document No.,Document Type,Balanace Due,Due Date,Due Days,Not Due,Doubtful Debt,Legal,Sales Group,Sales Organization,Division,Above 180 Days,000to30Days,31to60Days,61to90Days,91to120Days,121to150Days,151to180Days,Written Off
0010005411,KERALA MEDICAL SERVICES CORP LTD,IN,0000001101,0090002314,ZDOM,20-04-2022,DI2210200070,20-04-2022,0090000241,RV,"18,973.00",20-04-2022,654,0.00,"18,973.00",,G06,1000,01,"18,973.00",0.00,0.00,0.00,0.00,0.00,0.00,"18,973.00"
0010005411,KERALA MEDICAL SERVICES CORP LTD,IN,0000001101,0090002315,ZDOM,20-04-2022,DI2210200071,20-04-2022,0090000242,RV,"14,094.00",20-04-2022,654,0.00,"14,094.00",,G06,1000,01,"14,094.00",0.00,0.00,0.00,0.00,0.00,0.00,"14,094.00"
0010005411,KERALA MEDICAL SERVICES CORP LTD,IN,0000001101,0090002316,ZDOM,20-04-2022,DI2210200072,20-04-2022,0090000243,RV,"14,636.00",20-04-2022,654,0.00,"14,636.00",,G06,1000,01,"14,636.00",0.00,0.00,0.00,0.00,0.00,0.00,"14,636.00"
0010005411,KERALA MEDICAL SERVICES CORP LTD,IN,0000001101,0090002317,ZDOM,20-04-2022,DI2210200073,20-04-2022,0090000244,RV,"25,207.00",20-04-2022,654,0.00,"25,207.00",,G06,1000,01,"25,207.00",0.00,0.00,0.00,0.00,0.00,0.00,"25,207.00"
0010005411,KERALA MEDICAL SERVICES CORP LTD,IN,0000001101,0090002318,ZDOM,20-04-2022,DI2210200074,20-04-2022,0090000245,RV,"29,137.00",20-04-2022,654,0.00,"29,137.00",,G06,1000,01,"29,137.00",0.00,0.00,0.00,0.00,0.00,0.00,"29,137.00"
0010005411,KERALA MEDICAL SERVICES CORP LTD,IN,0000001101,0090002319,ZDOM,20-04-2022,DI2210200075,20-04-2022,0090000246,RV,"12,468.00",20-04-2022,654,0.00,"12,468.00",,G06,1000,01,"12,468.00",0.00,0.00,0.00,0.00,0.00,0.00,"12,468.00"
0010005411,KERALA MEDICAL SERVICES CORP LTD,IN,0000001101,0090002320,ZDOM,20-04-2022,DI2210200076,20-04-2022,0090000247,RV,"11,384.00",20-04-2022,654,0.00,"11,384.00",,G06,1000,01,"11,384.00",0.00,0.00,0.00,0.00,0.00,0.00,"11,384.00"
0010005411,KERALA MEDICAL SERVICES CORP LTD,IN,0000001101,0090002321,ZDOM,20-04-2022,DI2210200077,20-04-2022,0090000248,RV,"11,384.00",20-04-2022,654,0.00,"11,384.00",,G06,1000,01,"11,384.00",0.00,0.00,0.00,0.00,0.00,0.00,"11,384.00"
0010005411,KERALA MEDICAL SERVICES CORP LTD,IN,0000001101,0090002322,ZDOM,20-04-2022,DI2210200078,20-04-2022,0090000249,RV,"10,435.00",20-04-2022,654,0.00,"10,435.00",,G06,1000,01,"10,435.00",0.00,0.00,0.00,0.00,0.00,0.00,"10,435.00"
0010005411,KERALA MEDICAL SERVICES CORP LTD,IN,0000001101,0090002326,ZDOM,20-04-2022,DI2210200079,20-04-2022,0090000250,RV,"6,640.00",20-04-2022,654,0.00,"6,640.00",,G06,1000,01,"6,640.00",0.00,0.00,0.00,0.00,0.00,0.00,"6,640.00"
0010005411,KERALA MEDICAL SERVICES CORP LTD,IN,0000001101,0090002327,ZDOM,20-04-2022,DI2210200080,20-04-2022,0090000251,RV,"8,131.00",20-04-2022,654,0.00,"8,131.00",,G06,1000,01,"8,131.00",0.00,0.00,0.00,0.00,0.00,0.00,"8,131.00"
0010005411,KERALA MEDICAL SERVICES CORP LTD,IN,0000001101,0090002328,ZDOM,20-04-2022,DI2210200081,20-04-2022,0090000252,RV,"7,318.00",20-04-2022,654,0.00,"7,318.00",,G06,1000,01,"7,318.00",0.00,0.00,0.00,0.00,0.00,0.00,"7,318.00"
0010005411,KERALA MEDICAL SERVICES CORP LTD,IN,0000001101,0090002329,ZDOM,20-04-2022,DI2210200082,20-04-2022,0090000253,RV,"5,421.00",20-04-2022,654,0.00,"5,421.00",,G06,1000,01,"5,421.00",0.00,0.00,0.00,0.00,0.00,0.00,"5,421.00"
0010005411,KERALA MEDICAL SERVICES CORP LTD,IN,0000001101,0090002330,ZDOM,20-04-2022,DI2210200083,20-04-2022,0090000254,RV,"9,215.00",20-04-2022,654,0.00,"9,215.00",,G06,1000,01,"9,215.00",0.00,0.00,0.00,0.00,0.00,0.00,"9,215.00"
0010005411,KERALA MEDICAL SERVICES CORP LTD,IN,0000001101,0090002331,ZDOM,20-04-2022,DI2210200084,20-04-2022,0090000255,RV,"5,285.00",20-04-2022,654,0.00,"5,285.00",,G06,1000,01,"5,285.00",0.00,0.00,0.00,0.00,0.00,0.00,"5,285.00"
