Invoice No.,Billing Type,Company Code,Plant,Plant Name,Head Office,Invoice Date,Tax Invoice No.,Accounting Doc No.,Bill to Party,Bill to Party Name,Bill to Party PAN,Bill to Party GST No,Bill To State Code,Bill to State Name,Bill To District,Ship To Party,Ship To Party Name,Ship To PAN,Ship To GST No,Ship To State Code,Ship To State Name,Ship To District,Ship To City,Pay To Party,Pay To Party Name,Material Group 1,Material Group 1 Des,Item Code,Item Description,HSN Code,Batch Number,Sale Unit (UOM),Batch Quantity,Free/Sale,Mfg. Date,Exp Date,Exchange Rate,MRP,PTR,Sale Rate,Sales Amount,Discount %,Discount Amount,Net Amount,Plate Charges,Freight,Taxable Amount,IGST Rate,IGST Amount,CGST Rate,CGST Amount,SGST Rate,SGST Amount,Total Amt After Tax,TCS Base,TCS Amount,Round Off,Grand Total,Party Order No,Party Order Date,Vehicle No,LR No,Transporter Name,Payment Term,No of Boxes,Gross Weight of Prod,Distribution Channel,Division,Division Description,Sales Office,Sales Office Descrip,Sales Group,Sales Group Descript,Material Group,Material Group Descr,IRN No,Acknowledgement No,Eway Bill No,Shipment No.,Shipment Cost,Freight Amount,Service Entry Sheet,Freight PO NO,Sales Empolyee,HQ Code,Hospital Name
0090000609,ZST2,1000,1101,,,16-08-2023,DI2310200001,90000000,1200,Aishwarya Healthcare Zirakpur,AAOFA1208J,03AAOFA1208J1ZT,03,Punjab,Sas Nagar Mohali,1200,Aishwarya Healthcare Zirakpur,AAOFA1208J,03AAOFA1208J1ZT,03,Punjab,Sas Nagar Mohali,Zikarpur,1200,Aishwarya Healthcare Zirakpur,,,1100000001,Test Raw Material,17019910,0000000348,EA,1.000,Sales,01.09.2023,01.09.2024,1.00,,,140.00,140.00,0.00,0.00,140.00,0.00,0.00,140.00,12.00,16.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.14,156.66,,,,,,,0,102.000,30,01,Pharma Product,,,,,,,,,,,,0.00,,,,,
0090000609,ZST2,1000,1101,,,16-08-2023,DI2310200001,90000000,1200,Aishwarya Healthcare Zirakpur,AAOFA1208J,03AAOFA1208J1ZT,03,Punjab,Sas Nagar Mohali,1200,Aishwarya Healthcare Zirakpur,AAOFA1208J,03AAOFA1208J1ZT,03,Punjab,Sas Nagar Mohali,Zikarpur,1200,Aishwarya Healthcare Zirakpur,,,1100000002,Ciprofloxacin USP,17019910,0000000349,KG,1.000,Sales,01.09.2023,01.09.2024,1.00,,,180.00,180.00,0.00,0.00,180.00,0.00,0.00,180.00,5.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.16,188.84,,,,,,,0,0.000,30,01,Pharma Product,,,,,,,,,,,,0.00,,,,,
0090000609,ZST2,1000,1101,,,16-08-2023,DI2310200001,90000000,1200,Aishwarya Healthcare Zirakpur,AAOFA1208J,03AAOFA1208J1ZT,03,Punjab,Sas Nagar Mohali,1200,Aishwarya Healthcare Zirakpur,AAOFA1208J,03AAOFA1208J1ZT,03,Punjab,Sas Nagar Mohali,Zikarpur,1200,Aishwarya Healthcare Zirakpur,,,1100000003,Sodium Chloride USP,17019910,0000000350,KG,1.000,Sales,01.09.2023,01.09.2024,1.00,,,112.00,112.00,0.00,0.00,112.00,0.00,0.00,112.00,5.00,5.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,117.50,,,,,,,0,0.000,30,01,Pharma Product,,,,,,,,,,,,0.00,,,,,
0090000610,ZDOM,1000,1000,,,17-08-2023,DI2312700001,90000001,10000006,Aishwarya Healthcare,ATZPD5943D,29ATZPD5943DBZ2,29,Karnataka,,10000006,Aishwarya Healthcare,ATZPD5943D,29ATZPD5943DBZ2,29,Karnataka,,BANGALORE,10000006,Aishwarya Healthcare,004,Ethical,1400000002,Cipronir,30049099,0000000115,PC,10.000,Sales,15.11.2021,15.11.2023,1.00,1199,900.00,10.00,111.11,5.00,5.56,105.55,0.00,0.00,105.55,6.00,6.33,0.00,0.00,0.00,0.00,6.33,0.00,0.00,0.12,112.00,1234,,,,,Pay immediately w/o deduction,0,11.000,10,01,Pharma Product,,,,,004,Ethical,,,,,,0.00,,,,,
0090000614,ZDOM,1000,1000,,,28-08-2023,DI2312700002,90000002,10000006,Aishwarya Healthcare,ATZPD5943D,29ATZPD5943DBZ2,29,Karnataka,,10000006,Aishwarya Healthcare,ATZPD5943D,29ATZPD5943DBZ2,29,Karnataka,,BANGALORE,10000006,Aishwarya Healthcare,004,Ethical,1400000002,Cipronir,30049099,0000000121,PC,10.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,10.00,111.11,5.00,5.56,105.55,0.00,0.00,105.55,6.00,6.33,0.00,0.00,0.00,0.00,6.33,0.00,0.00,0.12,112.00,1234,,,,,Pay immediately w/o deduction,0,11.000,10,01,Pharma Product,,,,,004,Ethical,,,,,,0.00,,,,,
0090000616,ZDOM,1000,1000,,,28-08-2023,DI2312700003,90000003,10000006,Aishwarya Healthcare,ATZPD5943D,29ATZPD5943DBZ2,29,Karnataka,,10000006,Aishwarya Healthcare,ATZPD5943D,29ATZPD5943DBZ2,29,Karnataka,,BANGALORE,10000006,Aishwarya Healthcare,004,Ethical,1400000002,Cipronir,30049099,0000000121,PC,10.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,10.00,111.11,5.00,5.56,105.55,0.00,0.00,105.55,6.00,6.33,0.00,0.00,0.00,0.00,6.33,0.00,0.00,0.12,112.00,1234,,,,,Pay immediately w/o deduction,0,11.000,10,01,Pharma Product,,,,,004,Ethical,,,,,,0.00,,,,,
0090000618,ZDOM,1000,1000,,,02-11-2023,DI2312700004,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,VARANASI,10000041,SHANTI SURGICAL STORES,004,Ethical,1400000002,Cipronir,30049099,0000000121,PC,1.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,50.00,55.55,3.00,1.67,53.88,0.00,0.00,53.88,12.00,6.47,0.00,0.00,0.00,0.00,6.47,0.00,0.00,-0.35,60.00,TEST FOR IRN,02-11-2023,,,,"14 days 2%, 30 net",0,1.100,10,01,Pharma Product,,,,,004,Ethical,,,,,,0.00,,,0000005899,,
0090000619,ZDOM,1000,1000,,,02-11-2023,DI2312700005,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,VARANASI,10000041,SHANTI SURGICAL STORES,004,Ethical,1400000002,Cipronir,30049099,0000000121,PC,1.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,50.00,55.55,3.00,1.67,53.88,0.00,0.00,53.88,12.00,6.47,0.00,0.00,0.00,0.00,6.47,0.00,0.00,-0.35,60.00,TEST FOR IRN,02-11-2023,,,,"14 days 2%, 30 net",0,1.100,10,01,Pharma Product,,,,,004,Ethical,,,,,,0.00,,,0000005899,,
0090000620,ZDOM,1000,1000,,,02-11-2023,DI2312700006,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,10000042,AGROHA AGENCIES,AUGPS5369G,08AUGPS5369G1Z4,08,Rajasthan,,JAIPUR,10000041,SHANTI SURGICAL STORES,004,Ethical,1400000002,Cipronir,30049099,0000000121,PC,1.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,50.00,55.55,3.00,1.67,53.88,0.00,0.00,53.88,12.00,6.47,0.00,0.00,0.00,0.00,6.47,0.00,0.00,-0.35,60.00,TEST FOR IRN DIFF SH SP,,,,,"14 days 2%, 30 net",0,1.100,10,01,Pharma Product,,,,,004,Ethical,,,,,,0.00,,,0000005899,,
0090000621,ZDOM,1000,1000,,,02-11-2023,DI2312700007,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,VARANASI,10000041,SHANTI SURGICAL STORES,004,Ethical,1400000002,Cipronir,30049099,0000000121,PC,1.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,50.00,55.55,3.00,1.67,53.88,0.00,0.00,53.88,12.00,6.47,0.00,0.00,0.00,0.00,6.47,0.00,0.00,-0.35,60.00,TEST FOR IRN,02-11-2023,,,,"14 days 2%, 30 net",0,1.100,10,01,Pharma Product,,,,,004,Ethical,,,,,,0.00,,,0000005899,,
