Customer Code,Customer Name,Customer Group,Profit Center,Document No.,Document Type,Invoice Date,Due Date,Reference No.,Reference Date,Balanace Due,Due Days,Doubtful Debt,Not Due,Billing Type,Sales Group,Sales Organization,Division,Billing Document,000to30Days,31to60Days,61to90Days,91to120Days,121to150Days,151to180Days,Above 180 Days,Legal,Written Off
0010002206,SHEOSONS INDIA,CC,0000001200,0090000000,RV,05-02-2022,05-02-2022,DI2110300001,05-02-2022,"84,084.00",773,"84,084.00",0.00,ZDOM,G08,1000,01,0090000007,0.00,0.00,0.00,0.00,0.00,0.00,"84,084.00",,"84,084.00"
0010007616,ALACTIS PHARMACEUTICALS PRIVATE LIM,CC,0000001200,0090000020,RV,09-02-2022,09-02-2022,DI2110300003,09-02-2022,"17,938.00",769,"17,938.00",0.00,ZDOM,G08,1000,01,0090000061,0.00,0.00,0.00,0.00,0.00,0.00,"17,938.00",,"17,938.00"
0010004142,MUDRA INCORPORATION,CC,0000001200,0090000032,RV,10-02-2022,10-02-2022,DI2110300005,10-02-2022,"3,57,844.00",768,"3,57,844.00",0.00,ZDOM,G08,1000,01,0090000092,0.00,0.00,0.00,0.00,0.00,0.00,"3,57,844.00",,"3,57,844.00"
0010005907,GANDHI BROTHERS,CC,0000001200,0090000033,RV,10-02-2022,10-02-2022,DI2110300006,10-02-2022,0.00,768,"1,80,500.00",0.00,ZDOM,G08,1000,01,0090000093,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"1,80,500.00"
0000003200,CELEBRITY BIOPHARMA LIMITED,,0000001102,0090000045,RV,11-02-2022,11-02-2022,DI2111100006,11-02-2022,"22,05,155.00",767,"22,05,155.00",0.00,IV,,1000,01,0090000124,0.00,0.00,0.00,0.00,0.00,0.00,"22,05,155.00",,"22,05,155.00"
0010006644,B M PHARMA & HEALTHCARE PVT. LTD.,CC,0000001200,0090000050,RV,12-02-2022,12-02-2022,DI2110300011,12-02-2022,"56,056.00",766,"56,056.00",0.00,ZDOM,G08,1000,01,0090000130,0.00,0.00,0.00,0.00,0.00,0.00,"56,056.00",,"56,056.00"
0000003200,CELEBRITY BIOPHARMA LIMITED,,0000001102,0090000080,RV,16-02-2022,16-02-2022,DI2111100008,16-02-2022,"9,18,193.00",762,"9,18,193.00",0.00,IV,,1000,01,0090000214,0.00,0.00,0.00,0.00,0.00,0.00,"9,18,193.00",,"9,18,193.00"
0000003200,CELEBRITY BIOPHARMA LIMITED,,0000001102,0090000087,RV,16-02-2022,16-02-2022,DI2111100010,16-02-2022,"4,18,961.00",762,"4,18,961.00",0.00,IV,,1000,01,0090000232,0.00,0.00,0.00,0.00,0.00,0.00,"4,18,961.00",,"4,18,961.00"
0010002206,SHEOSONS INDIA,CC,0000001200,0090000113,RV,19-02-2022,19-02-2022,DI2110300017,19-02-2022,"93,048.00",759,"93,048.00",0.00,ZDOM,G08,1000,01,0090000310,0.00,0.00,0.00,0.00,0.00,0.00,"93,048.00",,"93,048.00"
0010002206,SHEOSONS INDIA,CC,0000001200,0090000114,RV,19-02-2022,19-02-2022,DI2110300018,19-02-2022,"33,634.00",759,"33,634.00",0.00,ZDOM,G08,1000,01,0090000311,0.00,0.00,0.00,0.00,0.00,0.00,"33,634.00",,"33,634.00"
