Company Code,Division,Division Description,Plant,Plant Name,Bill to State Name,Head Office,Invoice No.,Billing Type,Invoice Date,Tax Invoice No.,Accounting Doc No.,Bill to Party,Bill to Party Name,Bill to Party PAN,Bill to Party GST No,Bill To State Code,Bill To District,Ship To Party,Ship To Party Name,Ship To PAN,Ship To GST No,Ship To State Code,Ship To State Name,Ship To District,Ship To City,Pay To Party,Pay To Party Name,Material Group 1,Material Group 1 Des,Item Code,Item Description,HSN Code,Batch Number,Sale Unit (UOM),Batch Quantity,Free/Sale,Mfg. Date,Exp Date,Exchange Rate,MRP,PTS Rate,PTS Value,Discount %,Discount Amount,Net Amount,Plate Charges,Freight,Taxable Amount,IGST Rate,IGST Amount,CGST Rate,CGST Amount,SGST Rate,SGST Amount,Total Amt After Tax,TCS Base,TCS Amount,Round Off,Grand Total,Party Order No,Party Order Date,Vehicle No,LR No,Transporter Name,Payment Term,No of Boxes,Gross Weight of Prod,Distribution Channel,Sales Office,Sales Office Descrip,Sales Group,Sales Group Descript,Material Group,Material Group Descr,IRN No,Acknowledgement No,Eway Bill No,Shipment No.,Shipment Cost,Freight Amount,Service Entry Sheet,Freight PO NO
3000,02,Services,3100,,Maharashtra,,0090020978,ZSRI,19-10-2023,DI2330200274,90001567,10005702,INTIGREAT CONSULTING SERVICES LLP,AAFFI9387M,27AAFFI9387M1ZI,27,EAST MUMBAI,10005702,INTIGREAT CONSULTING SERVICES LLP,AAFFI9387M,27AAFFI9387M1ZI,27,Maharashtra,EAST MUMBAI,MUMBAI,10005702,INTIGREAT CONSULTING SERVICES LLP,,,2000000002,CONVERSION CHARGES,998843,,EA,1.000,Sales,,,1.00,,0.00,0,0.00,0.00,"10,000.00",0.00,0.00,"10,000.00",18.00,"1,800.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"11,800.00",532,11-10-2023,,,,Payment In Advance,0,0.000,10,O001,Mumbai Sales Office,G07,Generic Plant,,,,,,,,0.00,,
3000,02,Services,3100,,Himachal Pradesh,,0090021667,ZSRI,13-12-2023,DI2330200293,90001900,10007629,ALKEM LABORATORIES LIMITED,AABCA9521E,02AABCA9521E1Z9,02,SOLAN,50000009,ALKEM LABORATORIES LTD BADDI WAREHO,,02AABCA9521E1Z9,02,Himachal Pradesh,,BADDI,10007629,ALKEM LABORATORIES LIMITED,,,2000000002,CONVERSION CHARGES,998843,,EA,10.000,Sales,,,1.00,,0.00,0,0.00,0.00,"1,000.00",0.00,0.00,"1,000.00",0.00,0.00,9.00,90.00,9.00,90.00,0.00,0.00,0.00,0.00,"1,180.00",TEST_KYK,01-12-2023,,,,Payment Within 60 Days,0,0.000,10,O001,Mumbai Sales Office,G07,Generic Plant,,,,,,,,0.00,,
3000,01,Pharma Product,3100,,Beau-BassinRose-Hill,,0090021275,ZECI,19-12-2023,EX2330200009,90001718,20000055,LINEA PHARMACEUTICALS (INT) LTD.,,,BR,,20000055,LINEA PHARMACEUTICALS (INT) LTD.,,,BR,Beau-BassinRose-Hill,,BEAU-BASSIN,20000055,LINEA PHARMACEUTICALS (INT) LTD.,004,Ethical,1400004300,AMDICARE (AMLODIPINE TABLETS USP 5MG),30049072,EXCP3001,EA,10.000,Sales,01.07.2023,01.06.2025,81.20,,"8,120.00",1000,81.30,812.00,2.30,0.00,0.00,2.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,186.76,SAPMMIT,19-12-2023,,,,50% Adv. & 50% before Dispatch,0,"2,200.000",20,O001,Mumbai Sales Office,G03,Exports,004,Ethical,4bb743e212ddca61f8b380d4ee9f0a282698a4bdae58f75a1677003389e8857c,152410022832279,,,,0.00,,
3000,01,Pharma Product,3100,,Beau-BassinRose-Hill,,0090021269,ZECI,19-12-2023,EX2330200008,90001717,20000055,LINEA PHARMACEUTICALS (INT) LTD.,,,BR,,20000055,LINEA PHARMACEUTICALS (INT) LTD.,,,BR,Beau-BassinRose-Hill,,BEAU-BASSIN,20000055,LINEA PHARMACEUTICALS (INT) LTD.,004,Ethical,1400004300,AMDICARE (AMLODIPINE TABLETS USP 5MG),30049072,EXCP3001,EA,10.000,Sales,01.07.2023,01.06.2025,81.20,,"8,120.00",1000,21.00,211.12,9.70,0.00,0.00,9.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,787.64,TEST_KYK,15-12-2023,,,,50% Adv. & 50% before Dispatch,0,"2,200.000",20,O001,Mumbai Sales Office,G03,Exports,004,Ethical,,,,,,0.00,,
3000,02,Services,3100,,Himachal Pradesh,,0090021218,ZSRI,12-12-2023,DI2330200279,90001698,10007629,ALKEM LABORATORIES LIMITED,AABCA9521E,02AABCA9521E1Z9,02,SOLAN,50000009,ALKEM LABORATORIES LTD BADDI WAREHO,,02AABCA9521E1Z9,02,Himachal Pradesh,,BADDI,10007629,ALKEM LABORATORIES LIMITED,,,2000000002,CONVERSION CHARGES,998843,,EA,100.000,Sales,,,1.00,,0.00,0,0.00,0.00,"10,000.00",0.00,0.00,"10,000.00",0.00,0.00,9.00,900.00,9.00,900.00,0.00,0.00,0.00,0.00,"11,800.00",KYK_51,01-12-2023,,,,Payment Within 60 Days,0,0.000,10,O001,Mumbai Sales Office,G07,Generic Plant,,,,,,,,0.00,,
3000,01,Pharma Product,3100,,Beau-BassinRose-Hill,,0090021268,ZECI,19-12-2023,EX2330200007,90001716,20000055,LINEA PHARMACEUTICALS (INT) LTD.,,,BR,,20000055,LINEA PHARMACEUTICALS (INT) LTD.,,,BR,Beau-BassinRose-Hill,,BEAU-BASSIN,20000055,LINEA PHARMACEUTICALS (INT) LTD.,004,Ethical,1400004300,AMDICARE (AMLODIPINE TABLETS USP 5MG),30049072,EXCP3001,EA,10.000,Sales,01.07.2023,01.06.2025,81.20,,"8,120.00",1000,8.13,81.20,11.30,0.00,0.00,11.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,917.56,TEST_KYK,15-12-2023,,,,50% Adv. & 50% before Dispatch,0,"2,200.000",20,O001,Mumbai Sales Office,G03,Exports,004,Ethical,,,,,,0.00,,
3000,02,Services,3100,,Himachal Pradesh,,0083000470,S1,13-12-2023,DI2330200293,100005279,10007629,ALKEM LABORATORIES LIMITED,AABCA9521E,02AABCA9521E1Z9,02,SOLAN,50000009,ALKEM LABORATORIES LTD BADDI WAREHO,,02AABCA9521E1Z9,02,Himachal Pradesh,,BADDI,10007629,ALKEM LABORATORIES LIMITED,,,2000000002,CONVERSION CHARGES,998843,,EA,10.000,Sales,,,1.00,,0.00,0,0.00,0.00,"-1,000.00",0.00,0.00,"-1,000.00",0.00,0.00,9.00,-90.00,9.00,-90.00,0.00,0.00,0.00,0.00,"-1,180.00",TEST_KYK,01-12-2023,,,,Payment Within 60 Days,0,0.000,10,O001,Mumbai Sales Office,G07,Generic Plant,,,,,,,,0.00,,
3000,01,Pharma Product,3100,,Aden,,0090021340,ZECI,27-12-2023,EX2330200010,90001749,20000024,AL-AZZANI STORES FOR MEDICINES AND,,,AD,ADEN,20000024,AL-AZZANI STORES FOR MEDICINES AND,,,AD,Aden,ADEN,ADEN,20000024,AL-AZZANI STORES FOR MEDICINES AND,003,Critical Care,1400001663,MEDAISH INJECTION 5ML,30041090,AL1095,EA,100.000,Sales,05.01.2023,05.01.2025,81.20,33.10,17.05,21,4.76,81.20,20.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,624.00",KYK 110,07-12-2023,,,SKC DISTRIBUTIONS PRIVATE LIMITED,Pay immediately w/o deduction,10,3.400,20,O001,Mumbai Sales Office,G03,Exports,003,Critical Care,,,,12581,,0.00,,
3000,01,Pharma Product,3100,,Aden,,0090021340,ZECI,27-12-2023,EX2330200010,90001749,20000024,AL-AZZANI STORES FOR MEDICINES AND,,,AD,ADEN,20000024,AL-AZZANI STORES FOR MEDICINES AND,,,AD,Aden,ADEN,ADEN,20000024,AL-AZZANI STORES FOR MEDICINES AND,003,Critical Care,1400000077,AISHWIN INJECTION 1ML,30041090,AA2022,EA,100.000,Sales,17.02.2022,17.01.2024,81.20,35.00,9.74,12,25.00,243.60,9.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,730.80,KYK 110,07-12-2023,,,SKC DISTRIBUTIONS PRIVATE LIMITED,Pay immediately w/o deduction,0,0.000,20,O001,Mumbai Sales Office,G03,Exports,003,Critical Care,,,,12581,,0.00,,
3000,01,Pharma Product,3100,,Aden,,0090021340,ZECI,27-12-2023,EX2330200010,90001749,20000024,AL-AZZANI STORES FOR MEDICINES AND,,,AD,ADEN,20000024,AL-AZZANI STORES FOR MEDICINES AND,,,AD,Aden,ADEN,ADEN,20000024,AL-AZZANI STORES FOR MEDICINES AND,003,Critical Care,1400000059,AISHDOL INJECTION 2ML,30041090,AA3046,EA,100.000,Sales,17.04.2023,17.03.2025,81.20,23.20,11.37,14,0.00,0.00,14.00,0.00,0.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,136.80",KYK 110,07-12-2023,,,SKC DISTRIBUTIONS PRIVATE LIMITED,Pay immediately w/o deduction,0,0.000,20,O001,Mumbai Sales Office,G03,Exports,003,Critical Care,,,,12581,,0.00,,
