CustCode.;Doc. No.;CustName;CustGrp;PrfitCentr;DocuType;InvDate;DueDate.;ReferNo;ReferenDt;BalanaDue;DueDays.;DoutfulDeb;NotDue;BillinType;SalesGroup;SalesOrga;Division;BillinDocu;0to30Days;31to60Days;61to90Days;91to120Day;121to150Day;151to180Da;Abve180Day;Legal;WrittenOff;Due Amount;Overdue Amount;Timestamp;Status
0010002206;0090000000;SHEOSONS INDIA;CC;0000001200;RV;05.02.2022;05.02.2022;DI2110300001;05.02.2022;84.084,00;00829;84.084,00;0,00;ZDOM;G08;1000;01;0090000007;0,00;84.084,00;0,00;0,00;0,00;0,00;0,00;;84.084,00;0,00;84.084,00;20.240.514.164.248,0000000;Update
0010007616;0090000020;ALACTIS PHARMACEUTICALS PRIVAT;CC;0000001200;RV;09.02.2022;09.02.2022;DI2110300003;09.02.2022;17.938,00;00825;17.938,00;0,00;ZDOM;G08;1000;01;0090000061;0,00;17.938,00;0,00;0,00;0,00;0,00;0,00;;17.938,00;0,00;17.938,00;20.240.514.164.248,0000000;Update
0010004142;0090000032;MUDRA INCORPORATION;CC;0000001200;RV;10.02.2022;10.02.2022;DI2110300005;10.02.2022;357.844,00;00824;357.844,00;0,00;ZDOM;G08;1000;01;0090000092;0,00;357.844,00;0,00;0,00;0,00;0,00;0,00;;357.844,00;0,00;357.844,00;20.240.514.164.248,0000000;Update
0010005907;0090000033;GANDHI BROTHERS;CC;0000001200;RV;10.02.2022;10.02.2022;DI2110300006;10.02.2022;0,00;00824;180.500,00;0,00;ZDOM;G08;1000;01;0090000093;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;180.500,00;0,00;0,00;20.240.514.164.248,0000000;Update
0000003200;0090000045;CELEBRITY BIOPHARMA LIMITED;;0000001102;RV;11.02.2022;11.02.2022;DI2111100006;11.02.2022;2.205.155,00;00823;2.205.155,00;0,00;IV;;1000;01;0090000124;0,00;2.205.155,00;0,00;0,00;0,00;0,00;0,00;;2.205.155,00;0,00;2.205.155,00;20.240.514.164.248,0000000;Update
0010006644;0090000050;B M PHARMA & HEALTHCARE PVT. L;CC;0000001200;RV;12.02.2022;12.02.2022;DI2110300011;12.02.2022;56.056,00;00822;56.056,00;0,00;ZDOM;G08;1000;01;0090000130;0,00;56.056,00;0,00;0,00;0,00;0,00;0,00;;56.056,00;0,00;56.056,00;20.240.514.164.248,0000000;Update
0000003200;0090000080;CELEBRITY BIOPHARMA LIMITED;;0000001102;RV;16.02.2022;16.02.2022;DI2111100008;16.02.2022;918.193,00;00818;918.193,00;0,00;IV;;1000;01;0090000214;0,00;918.193,00;0,00;0,00;0,00;0,00;0,00;;918.193,00;0,00;918.193,00;20.240.514.164.248,0000000;Update
0000003200;0090000087;CELEBRITY BIOPHARMA LIMITED;;0000001102;RV;16.02.2022;16.02.2022;DI2111100010;16.02.2022;418.961,00;00818;418.961,00;0,00;IV;;1000;01;0090000232;0,00;418.961,00;0,00;0,00;0,00;0,00;0,00;;418.961,00;0,00;418.961,00;20.240.514.164.248,0000000;Update
0010002206;0090000113;SHEOSONS INDIA;CC;0000001200;RV;19.02.2022;19.02.2022;DI2110300017;19.02.2022;93.048,00;00815;93.048,00;0,00;ZDOM;G08;1000;01;0090000310;0,00;93.048,00;0,00;0,00;0,00;0,00;0,00;;93.048,00;0,00;93.048,00;20.240.514.164.248,0000000;Update
0010002206;0090000114;SHEOSONS INDIA;CC;0000001200;RV;19.02.2022;19.02.2022;DI2110300018;19.02.2022;33.634,00;00815;33.634,00;0,00;ZDOM;G08;1000;01;0090000311;0,00;33.634,00;0,00;0,00;0,00;0,00;0,00;;33.634,00;0,00;33.634,00;20.240.514.164.248,0000000;Update
