CustCode.;Doc. No.;CustName;CustGrp;PrfitCentr;DocuType;InvDate;DueDate.;ReferNo;ReferenDt;BalanaDue;DueDays.;DoutfulDeb;NotDue;BillinType;SalesGroup;SalesOrga;Division;BillinDocu;0to30Days;31to60Days;61to90Days;91to120Day;121to150Day;151to180Da;Abve180Day;Legal;WrittenOff;Due Amount;Overdue Amount;Timestamp;Status
0010003199;0090000055;PARSHVA HEALTHCARE;Ge;0000003200;RV;18.02.2022;18.02.2022;DI2130300025;18.02.2022;1.177.411,00;00848;1.177.411,00;0,00;ZDOM;G06;3000;01;0090000291;0,00;1.177.411,00;0,00;0,00;0,00;0,00;0,00;;1.177.411,00;0,00;1.177.411,00;20.240.617.140.855,0000000;Update
0010003199;0090000053;PARSHVA HEALTHCARE;Ge;0000003200;RV;18.02.2022;18.02.2022;DI2130300026;18.02.2022;26.931,00;00848;26.931,00;0,00;ZDOM;G06;3000;01;0090000294;0,00;26.931,00;0,00;0,00;0,00;0,00;0,00;;26.931,00;0,00;26.931,00;20.240.617.140.855,0000000;Update
0010008055;0090000072;GALPHA LABORATORIES LTD.;Ge;0000003100;RV;23.02.2022;23.02.2022;DI2130200044;23.02.2022;3.442.421,00;00843;3.442.421,00;0,00;ZDOM;G07;3000;01;0090000403;0,00;3.442.421,00;0,00;0,00;0,00;0,00;0,00;;3.442.421,00;0,00;3.442.421,00;20.240.617.140.855,0000000;Update
0010008055;0090000075;GALPHA LABORATORIES LTD.;Ge;0000003100;RV;23.02.2022;23.02.2022;DI2130200045;23.02.2022;3.577.557,00;00843;3.577.557,00;0,00;ZDOM;G07;3000;01;0090000411;0,00;3.577.557,00;0,00;0,00;0,00;0,00;0,00;;3.577.557,00;0,00;3.577.557,00;20.240.617.140.855,0000000;Update
0010007406;0090000080;A K REMEDIES;Ge;0000003200;RV;23.02.2022;23.02.2022;DI2130300036;23.02.2022;276.889,00;00843;276.889,00;0,00;ZDOM;G06;3000;01;0090000419;0,00;276.889,00;0,00;0,00;0,00;0,00;0,00;;276.889,00;0,00;276.889,00;20.240.617.140.855,0000000;Update
0010007406;0090000081;A K REMEDIES;Ge;0000003200;RV;23.02.2022;23.02.2022;DI2130300037;23.02.2022;28.723,00;00843;28.723,00;0,00;ZDOM;G06;3000;01;0090000420;0,00;28.723,00;0,00;0,00;0,00;0,00;0,00;;28.723,00;0,00;28.723,00;20.240.617.140.855,0000000;Update
0000001200;0090000084;AISHWARYA HEALTHCARE;;0000003100;RV;24.02.2022;24.02.2022;DI2130200050;24.02.2022;3.925.152,00;00842;3.925.152,00;0,00;IV;;3000;01;0090000432;0,00;3.925.152,00;0,00;0,00;0,00;0,00;0,00;;3.925.152,00;0,00;3.925.152,00;20.240.617.140.855,0000000;Update
0010005612;0090000100;HINDUSTAN DRUGS CORPORATION;Ge;0000003200;RV;25.02.2022;25.02.2022;DI2130300048;25.02.2022;87.767,00;00841;87.767,00;0,00;ZDOM;G06;3000;01;0090000500;0,00;87.767,00;0,00;0,00;0,00;0,00;0,00;;87.767,00;0,00;87.767,00;20.240.617.140.855,0000000;Update
0010005612;0090000101;HINDUSTAN DRUGS CORPORATION;Ge;0000003200;RV;25.02.2022;25.02.2022;DI2130300049;25.02.2022;19.844,00;00841;19.844,00;0,00;ZDOM;G06;3000;01;0090000501;0,00;19.844,00;0,00;0,00;0,00;0,00;0,00;;19.844,00;0,00;19.844,00;20.240.617.140.855,0000000;Update
0000001200;0090000108;AISHWARYA HEALTHCARE;;0000003100;RV;26.02.2022;26.02.2022;DI2130200059;26.02.2022;179.258,00;00840;179.258,00;0,00;IV;;3000;01;0090000525;0,00;179.258,00;0,00;0,00;0,00;0,00;0,00;;179.258,00;0,00;179.258,00;20.240.617.140.855,0000000;Update
